Store_id,Item_id,Quantity,Date
store_0,item_0,26,2019-05-01
store_0,item_0,17,2019-05-02
store_0,item_1,47,2019-05-01
store_0,item_1,45,2019-05-02
store_0,item_2,18,2019-05-01
store_0,item_2,16,2019-05-02
store_0,item_3,20,2019-05-01
store_0,item_3,32,2019-05-02
store_0,item_4,19,2019-05-01
store_0,item_4,43,2019-05-02
store_0,item_5,29,2019-05-01
store_0,item_5,47,2019-05-02
store_0,item_6,26,2019-05-01
store_0,item_6,32,2019-05-02
store_0,item_7,36,2019-05-01
store_0,item_7,43,2019-05-02
store_0,item_8,10,2019-05-01
store_0,item_8,15,2019-05-02
store_0,item_9,10,2019-05-01
store_0,item_9,49,2019-05-02
store_0,item_10,34,2019-05-01
store_0,item_10,28,2019-05-02
store_0,item_11,14,2019-05-01
store_0,item_11,45,2019-05-02
store_0,item_12,36,2019-05-01
store_0,item_12,46,2019-05-02
store_0,item_13,44,2019-05-01
store_0,item_13,23,2019-05-02
store_0,item_14,16,2019-05-01
store_0,item_14,24,2019-05-02
store_0,item_15,39,2019-05-01
store_0,item_15,24,2019-05-02
store_0,item_16,26,2019-05-01
store_0,item_16,15,2019-05-02
store_0,item_17,15,2019-05-01
store_0,item_17,35,2019-05-02
store_0,item_18,49,2019-05-01
store_0,item_18,45,2019-05-02
store_0,item_19,18,2019-05-01
store_0,item_19,30,2019-05-02
store_0,item_20,42,2019-05-01
store_0,item_20,34,2019-05-02
store_0,item_21,32,2019-05-01
store_0,item_21,38,2019-05-02
store_0,item_22,17,2019-05-01
store_0,item_22,23,2019-05-02
store_0,item_23,24,2019-05-01
store_0,item_23,22,2019-05-02
store_0,item_24,47,2019-05-01
store_0,item_24,28,2019-05-02
store_0,item_25,15,2019-05-01
store_0,item_25,40,2019-05-02
store_0,item_26,44,2019-05-01
store_0,item_26,39,2019-05-02
store_0,item_27,18,2019-05-01
store_0,item_27,36,2019-05-02
store_0,item_28,27,2019-05-01
store_0,item_28,34,2019-05-02
store_0,item_29,12,2019-05-01
store_0,item_29,27,2019-05-02
store_0,item_30,44,2019-05-01
store_0,item_30,21,2019-05-02
store_0,item_31,19,2019-05-01
store_0,item_31,32,2019-05-02
store_0,item_32,10,2019-05-01
store_0,item_32,21,2019-05-02
store_0,item_33,34,2019-05-01
store_0,item_33,29,2019-05-02
store_0,item_34,10,2019-05-01
store_0,item_34,38,2019-05-02
store_0,item_35,26,2019-05-01
store_0,item_35,20,2019-05-02
store_0,item_36,13,2019-05-01
store_0,item_36,47,2019-05-02
store_0,item_37,23,2019-05-01
store_0,item_37,47,2019-05-02
store_0,item_38,15,2019-05-01
store_0,item_38,46,2019-05-02
store_0,item_39,47,2019-05-01
store_0,item_39,22,2019-05-02
store_0,item_40,21,2019-05-01
store_0,item_40,17,2019-05-02
store_0,item_41,37,2019-05-01
store_0,item_41,30,2019-05-02
store_0,item_42,29,2019-05-01
store_0,item_42,26,2019-05-02
store_0,item_43,16,2019-05-01
store_0,item_43,32,2019-05-02
store_0,item_44,32,2019-05-01
store_0,item_44,38,2019-05-02
store_0,item_45,41,2019-05-01
store_0,item_45,34,2019-05-02
store_0,item_46,21,2019-05-01
store_0,item_46,13,2019-05-02
store_0,item_47,33,2019-05-01
store_0,item_47,27,2019-05-02
store_0,item_48,37,2019-05-01
store_0,item_48,10,2019-05-02
store_0,item_49,28,2019-05-01
store_0,item_49,12,2019-05-02
store_0,item_50,44,2019-05-01
store_0,item_50,49,2019-05-02
store_0,item_51,33,2019-05-01
store_0,item_51,14,2019-05-02
store_0,item_52,10,2019-05-01
store_0,item_52,24,2019-05-02
store_0,item_53,29,2019-05-01
store_0,item_53,35,2019-05-02
store_0,item_54,15,2019-05-01
store_0,item_54,22,2019-05-02
store_0,item_55,36,2019-05-01
store_0,item_55,31,2019-05-02
store_0,item_56,34,2019-05-01
store_0,item_56,19,2019-05-02
store_0,item_57,32,2019-05-01
store_0,item_57,40,2019-05-02
store_0,item_58,17,2019-05-01
store_0,item_58,29,2019-05-02
store_0,item_59,35,2019-05-01
store_0,item_59,21,2019-05-02
store_0,item_60,14,2019-05-01
store_0,item_60,36,2019-05-02
store_0,item_61,12,2019-05-01
store_0,item_61,40,2019-05-02
store_0,item_62,16,2019-05-01
store_0,item_62,35,2019-05-02
store_0,item_63,47,2019-05-01
store_0,item_63,47,2019-05-02
store_0,item_64,38,2019-05-01
store_0,item_64,28,2019-05-02
store_0,item_65,19,2019-05-01
store_0,item_65,12,2019-05-02
store_0,item_66,21,2019-05-01
store_0,item_66,14,2019-05-02
store_0,item_67,20,2019-05-01
store_0,item_67,23,2019-05-02
store_0,item_68,10,2019-05-01
store_0,item_68,39,2019-05-02
store_0,item_69,18,2019-05-01
store_0,item_69,29,2019-05-02
store_0,item_70,16,2019-05-01
store_0,item_70,26,2019-05-02
store_0,item_71,42,2019-05-01
store_0,item_71,26,2019-05-02
store_0,item_72,28,2019-05-01
store_0,item_72,39,2019-05-02
store_0,item_73,31,2019-05-01
store_0,item_73,31,2019-05-02
store_0,item_74,29,2019-05-01
store_0,item_74,49,2019-05-02
store_0,item_75,35,2019-05-01
store_0,item_75,42,2019-05-02
store_0,item_76,43,2019-05-01
store_0,item_76,21,2019-05-02
store_0,item_77,34,2019-05-01
store_0,item_77,45,2019-05-02
store_0,item_78,48,2019-05-01
store_0,item_78,36,2019-05-02
store_0,item_79,46,2019-05-01
store_0,item_79,35,2019-05-02
store_0,item_80,38,2019-05-01
store_0,item_80,43,2019-05-02
store_0,item_81,19,2019-05-01
store_0,item_81,37,2019-05-02
store_0,item_82,42,2019-05-01
store_0,item_82,48,2019-05-02
store_0,item_83,29,2019-05-01
store_0,item_83,28,2019-05-02
store_0,item_84,33,2019-05-01
store_0,item_84,13,2019-05-02
store_0,item_85,24,2019-05-01
store_0,item_85,28,2019-05-02
store_0,item_86,18,2019-05-01
store_0,item_86,41,2019-05-02
store_0,item_87,18,2019-05-01
store_0,item_87,16,2019-05-02
store_0,item_88,29,2019-05-01
store_0,item_88,30,2019-05-02
store_0,item_89,16,2019-05-01
store_0,item_89,30,2019-05-02
store_0,item_90,48,2019-05-01
store_0,item_90,10,2019-05-02
store_0,item_91,28,2019-05-01
store_0,item_91,40,2019-05-02
store_0,item_92,42,2019-05-01
store_0,item_92,45,2019-05-02
store_0,item_93,32,2019-05-01
store_0,item_93,37,2019-05-02
store_0,item_94,17,2019-05-01
store_0,item_94,35,2019-05-02
store_0,item_95,13,2019-05-01
store_0,item_95,44,2019-05-02
store_0,item_96,44,2019-05-01
store_0,item_96,47,2019-05-02
store_0,item_97,26,2019-05-01
store_0,item_97,42,2019-05-02
store_0,item_98,22,2019-05-01
store_0,item_98,21,2019-05-02
store_0,item_99,37,2019-05-01
store_0,item_99,11,2019-05-02
store_0,item_100,15,2019-05-01
store_0,item_100,14,2019-05-02
store_0,item_101,19,2019-05-01
store_0,item_101,49,2019-05-02
store_0,item_102,32,2019-05-01
store_0,item_102,26,2019-05-02
store_0,item_103,32,2019-05-01
store_0,item_103,43,2019-05-02
store_0,item_104,49,2019-05-01
store_0,item_104,34,2019-05-02
store_0,item_105,48,2019-05-01
store_0,item_105,45,2019-05-02
store_0,item_106,11,2019-05-01
store_0,item_106,43,2019-05-02
store_0,item_107,24,2019-05-01
store_0,item_107,34,2019-05-02
store_0,item_108,32,2019-05-01
store_0,item_108,17,2019-05-02
store_0,item_109,25,2019-05-01
store_0,item_109,43,2019-05-02
store_0,item_110,40,2019-05-01
store_0,item_110,40,2019-05-02
store_0,item_111,35,2019-05-01
store_0,item_111,49,2019-05-02
store_0,item_112,19,2019-05-01
store_0,item_112,12,2019-05-02
store_0,item_113,19,2019-05-01
store_0,item_113,45,2019-05-02
store_0,item_114,25,2019-05-01
store_0,item_114,12,2019-05-02
store_0,item_115,22,2019-05-01
store_0,item_115,42,2019-05-02
store_0,item_116,24,2019-05-01
store_0,item_116,39,2019-05-02
store_0,item_117,22,2019-05-01
store_0,item_117,38,2019-05-02
store_0,item_118,33,2019-05-01
store_0,item_118,31,2019-05-02
store_0,item_119,12,2019-05-01
store_0,item_119,17,2019-05-02
store_0,item_120,11,2019-05-01
store_0,item_120,15,2019-05-02
store_0,item_121,45,2019-05-01
store_0,item_121,29,2019-05-02
store_0,item_122,45,2019-05-01
store_0,item_122,28,2019-05-02
store_0,item_123,26,2019-05-01
store_0,item_123,20,2019-05-02
store_0,item_124,37,2019-05-01
store_0,item_124,27,2019-05-02
store_0,item_125,33,2019-05-01
store_0,item_125,47,2019-05-02
store_0,item_126,11,2019-05-01
store_0,item_126,26,2019-05-02
store_0,item_127,18,2019-05-01
store_0,item_127,35,2019-05-02
store_0,item_128,20,2019-05-01
store_0,item_128,14,2019-05-02
store_0,item_129,16,2019-05-01
store_0,item_129,27,2019-05-02
store_0,item_130,36,2019-05-01
store_0,item_130,25,2019-05-02
store_0,item_131,41,2019-05-01
store_0,item_131,37,2019-05-02
store_0,item_132,35,2019-05-01
store_0,item_132,37,2019-05-02
store_0,item_133,44,2019-05-01
store_0,item_133,37,2019-05-02
store_0,item_134,32,2019-05-01
store_0,item_134,40,2019-05-02
store_0,item_135,20,2019-05-01
store_0,item_135,30,2019-05-02
store_0,item_136,34,2019-05-01
store_0,item_136,38,2019-05-02
store_0,item_137,48,2019-05-01
store_0,item_137,26,2019-05-02
store_0,item_138,10,2019-05-01
store_0,item_138,15,2019-05-02
store_0,item_139,18,2019-05-01
store_0,item_139,30,2019-05-02
store_0,item_140,43,2019-05-01
store_0,item_140,27,2019-05-02
store_0,item_141,27,2019-05-01
store_0,item_141,23,2019-05-02
store_0,item_142,31,2019-05-01
store_0,item_142,10,2019-05-02
store_0,item_143,40,2019-05-01
store_0,item_143,12,2019-05-02
store_0,item_144,25,2019-05-01
store_0,item_144,10,2019-05-02
store_0,item_145,40,2019-05-01
store_0,item_145,20,2019-05-02
store_0,item_146,46,2019-05-01
store_0,item_146,18,2019-05-02
store_0,item_147,39,2019-05-01
store_0,item_147,15,2019-05-02
